id,word,품사,뜻,예문,카테고리,추가 카테고리,소분류,레벨,뜻 번호
cute,cute,형용사,귀여운,The baby is cute.,외모,상태,인상,1,1
handsome,handsome,형용사,잘생긴,He is a handsome man.,외모,,인상,3,1
lovely,lovely,형용사,사랑스러운,What a lovely dress!,외모,,인상,3,1
neat,neat,형용사,단정한,Her desk is neat.,외모,,인상,3,1
messy,messy,형용사,지저분한,My room is messy.,외모,,인상,3,1
curly,curly,형용사,곱슬곱슬한,She has curly hair.,외모,,머리카락,2,1
wavy,wavy,형용사,물결 모양의,He has wavy hair.,외모,,머리카락,3,1
blond,blond,형용사,금발의,The boy has blond hair.,외모,,머리카락,3,1
brown-haired,brown-haired,형용사,갈색 머리의,She is brown-haired.,외모,,머리카락,3,1
black-haired,black-haired,형용사,검은 머리의,He is black-haired.,외모,,머리카락,3,1
bald,bald,형용사,대머리의,My uncle is bald.,외모,,머리카락,3,1
beard,beard,명사,턱수염,He has a long beard.,외모,,얼굴 특징,3,1
mustache,mustache,명사,콧수염,The man has a mustache.,외모,,얼굴 특징,3,1
freckles,freckles,명사,주근깨,She has freckles.,외모,,얼굴 특징,3,1
glasses,glasses,명사,안경,I wear glasses.,외모,옷,얼굴 특징,1,1
cool-2,cool,형용사,멋진,Your bag is cool!,외모,,인상,2,2
funny,funny,형용사,"웃긴, 재미있는",The clown is funny.,외모,상태 / 성격,인상,1,1
blonde,blonde,형용사,금발의 (여성),She has blonde hair.,외모,,머리카락,3,1
forehead,forehead,명사,이마,My forehead is hot.,몸,,얼굴,2,1
eyebrow,eyebrow,명사,눈썹,She has thick eyebrows.,몸,,얼굴,2,1
eyelash,eyelash,명사,속눈썹,The baby has long eyelashes.,몸,,얼굴,3,1
cheek,cheek,명사,볼,She has a red cheek.,몸,외모,얼굴,2,1
chin,chin,명사,턱,He has a small chin.,몸,외모,얼굴,2,1
tongue,tongue,명사,혀,Stick out your tongue.,몸,,얼굴,2,1
teeth,teeth,명사,"이, 치아 (복수)",I brush my teeth.,몸,,얼굴,2,1
skin,skin,명사,피부,The baby has soft skin.,몸,외모,속·피부,2,1
elbow,elbow,명사,팔꿈치,My elbow hurts.,몸,,팔·손,2,1
wrist,wrist,명사,손목,She wears a watch on her wrist.,몸,,팔·손,3,1
thumb,thumb,명사,엄지손가락,I hurt my thumb.,몸,,팔·손,2,1
chest,chest,명사,가슴,My chest is warm.,몸,,몸통,2,1
stomach,stomach,명사,"배, 위",My stomach hurts.,몸,,몸통,2,1
waist,waist,명사,허리,The belt is on my waist.,몸,,몸통,3,1
hip,hip,명사,"엉덩이, 골반",She put her hands on her hips.,몸,,몸통,3,1
ankle,ankle,명사,발목,I hurt my ankle.,몸,,다리·발,3,1
feet,feet,명사,발 (복수),My feet are cold.,몸,,다리·발,1,1
toe,toe,명사,발가락,I have ten toes.,몸,,다리·발,1,1
