"번호","과정","레벨","단계","학년","id","문법 이름","문장 틀","한 줄 설명","예문 1","예문 2","예문 3","예문 4","예문 5","예문 6","예문 7","예문 8","이럴 때 써요","쉽게 이해하기","예문 해석","규칙","틀리기 쉬운 것 (✗ → ✓)","한 줄 정리","단어장 바꾸기 틀","넣을 카테고리","검수 메모"
"1","초등","1 Notice & Name","entry","초3","this-is","This is / That is","This is a [ ]. / That is a [ ].","가까운 건 this, 먼 건 that으로 가리켜요.","This is a pen.","That is a bird.","This is my mom.","That is a tree.","This is an egg.","","","","내 가까이 있는 것을 가리키며 소개할 때: This is …
조금 멀리 있는 것을 가리킬 때: That is …
사람을 소개할 때도 써요: This is my mom.","this는 ""이것(이 사람)"", that은 ""저것(저 사람)""이에요.
손이 닿을 만큼 가까우면 this, 손가락으로 가리켜야 할 만큼 멀면 that.
뒤에 하나만 있으면 a/an을 붙여요: This is a pen.","1. 이건 펜이야.
2. 저건 새야.
3. 이분은 우리 엄마야. (사람 소개)
4. 저건 나무야.
5. 이건 달걀이야. (egg는 모음 소리 → an)","This is + a/an + 명사 (가까운 것)
That is + a/an + 명사 (먼 것)","✗ This is pen. → ✓ This is a pen. (하나일 때는 a/an을 붙여요)","가까우면 this, 멀면 that!","This is {a_noun}.","사물, 학교/문구, 장난감, 음식, 동물, 옷, 집/가구",""
"2","초등","1 Notice & Name","entry","초3","it-is","What's this? — It's a ~","What's this? — It's a [ ].","""이건 뭐야?""에 ""그건 ~야""로 답해요.","What's this? It's a ball.","It's an egg.","It's a cat.","It's a hat.","What's that? It's a bus.","","","","""이게 뭐야?""라고 묻고 답할 때
앞에서 말한 물건을 다시 말할 때","What's this? = 이건 뭐야? / What's that? = 저건 뭐야?
대답은 It's …로 해요. it은 ""그것""이라는 뜻이에요.
It's는 It is를 줄인 말이에요.","1. 이건 뭐야? 그건 공이야.
2. 그건 달걀이야.
3. 그건 고양이야.
4. 그건 모자야.
5. 저건 뭐야? 그건 버스야.","What's this/that? → It's + a/an + 명사","✗ What's this? This is ball. → ✓ What's this? It's a ball. (대답은 It's a/an …)","질문이 this든 that이든 대답은 It's로!","What's this? It's {a_noun}.","사물, 학교/문구, 장난감, 음식, 동물, 옷, 집/가구",""
"3","초등","1 Notice & Name","entry","초3","a-an","관사 a / an","a [ ] / an [ ]","하나를 말할 때 붙여요. 모음 소리(a, e, i, o, u)로 시작하면 an이에요.","a dog","an apple","an orange","a bag","an egg","","","","물건이 ""하나""일 때 이름 앞에 붙여요
처음 말하는 물건 앞에 붙여요","a와 an은 둘 다 ""하나의""라는 뜻이에요.
뒤 단어가 모음 소리(아·에·이·오·어)로 시작하면 an, 아니면 a예요.
글자가 아니라 소리로 판단해요: an hour(아워), a uniform(유니폼)","1. 개 한 마리
2. 사과 하나 (a-pple: 모음 소리 → an)
3. 오렌지 하나
4. 가방 하나
5. 달걀 하나","a + 자음 소리로 시작하는 단어
an + 모음 소리로 시작하는 단어","✗ a apple → ✓ an apple (apple은 모음 소리로 시작 → an)","""아·에·이·오·어"" 소리 앞에는 an!","{a_noun}","사물, 학교/문구, 장난감, 음식, 동물, 옷, 집/가구",""
"4","초등","1 Notice & Name","entry","초3","plural","여러 개 (복수형 -s/-es)","two [ ]s","두 개 이상이면 끝에 -s나 -es를 붙여요.","two cats","three boxes","five pencils","two buses","four books","","","","두 개 이상을 말할 때
숫자(two, three …) 뒤에서","대부분 단어 끝에 -s를 붙여요: cat → cats
s, x, ch, sh로 끝나면 -es: box → boxes, bus → buses
모양이 바뀌는 단어도 있어요: child → children, mouse → mice","1. 고양이 두 마리
2. 상자 세 개 (box → boxes)
3. 연필 다섯 자루
4. 버스 두 대 (bus → buses)
5. 책 네 권","명사 + -s
s · x · ch · sh로 끝나면 + -es","✗ two cat → ✓ two cats (두 개 이상이면 -s)
✗ three boxs → ✓ three boxes (x로 끝나면 -es)","하나보다 많으면 꼬리에 -s를 달아 주세요.","I have two {nouns}.","사물, 학교/문구, 장난감, 동물, 음식",""
"5","초등","1 Notice & Name","entry","초3","i-am","I am ~ (be동사 1)","I am [ ]. / I'm [ ].","나를 소개하거나 내 기분을 말할 때 써요.","I'm happy.","I am ten.","I'm hungry.","I'm Mina.","I'm sleepy.","","","","내 이름, 나이, 기분을 말할 때
자기소개를 할 때","I 다음에는 am을 써요. ""나는 ~이에요""라는 뜻이에요.
I'm은 I am을 줄인 말이에요.
기분을 말할 때: happy(행복한), sad(슬픈), hungry(배고픈), sleepy(졸린)","1. 나는 행복해.
2. 나는 열 살이야.
3. 나는 배고파.
4. 나는 미나야. (이름 소개)
5. 나는 졸려.","I am (= I'm) + 이름 / 나이 / 기분","✗ I is happy. → ✓ I am happy. (I 다음에는 am)","I와 am은 늘 붙어 다니는 짝꿍!","I'm {adj}.","감정, 상태",""
"6","초등","1 Notice & Name","grow","초3","he-she-is","He is / She is (be동사 2)","He is [ ]. / She is [ ].","남자는 he, 여자는 she예요. 둘 다 is를 써요.","He is tall.","She is my sister.","She is a teacher.","He is my dad.","She is kind.","","","","다른 사람을 소개하거나 설명할 때","남자 한 명은 he, 여자 한 명은 she예요.
he와 she 다음에는 is를 써요.
뒤에는 사람을 설명하는 말(tall, kind)이나 누구인지(a teacher, my sister)가 와요.","1. 그는 키가 커.
2. 그녀는 내 여동생이야.
3. 그녀는 선생님이야.
4. 그는 우리 아빠야.
5. 그녀는 친절해.","He / She + is + 설명하는 말","✗ She are kind. → ✓ She is kind. (he · she 다음에는 is)","남자는 he, 여자는 she, 둘 다 is!","She is {adj}. / He is {a_noun}.","외모, 성격, 감정, 상태, 직업",""
"7","초등","1 Notice & Name","entry","초3","i-like","I like ~","I like [ ].","좋아하는 것을 말해요. 셀 수 있는 건 여러 개(-s)로 말해요.","I like apples.","I like red.","I like soccer.","I like dogs.","I like music.","","","","좋아하는 음식·동물·색·운동을 말할 때","I like 다음에 좋아하는 것을 말해요.
셀 수 있는 것(사과, 개)은 여러 개로 말해요: I like apples.
색·운동·음악처럼 셀 수 없는 것은 그대로: I like red.","1. 나는 사과를 좋아해. (apple → apples)
2. 나는 빨간색을 좋아해.
3. 나는 축구를 좋아해.
4. 나는 개를 좋아해.
5. 나는 음악을 좋아해.","I like + 셀 수 있는 명사의 복수형 (apples)
I like + 셀 수 없는 명사 (red, soccer)","✗ I like apple. → ✓ I like apples. (좋아하는 것은 보통 여러 개(-s)로)","좋아하는 게 셀 수 있는 것이면 -s를 붙여 주세요.","I like {nouns}. / I like {noun}.","동물, 음식, 장난감, 색깔, 스포츠, 음악",""
"8","초등","1 Notice & Name","entry","초3","i-have","I have ~","I have a [ ].","가지고 있는 것을 말해요.","I have a dog.","I have a red cap.","I have two pens.","I have a sister.","I have a new bag.","","","","가지고 있는 물건이나 가족·동물을 말할 때","have는 ""가지고 있다""라는 뜻이에요.
하나면 a/an, 여러 개면 숫자 + -s를 써요.
가족이 있다고 말할 때도 have를 써요: I have a sister.","1. 나는 개가 있어.
2. 나는 빨간 모자가 있어.
3. 나는 펜이 두 자루 있어.
4. 나는 여동생이 있어.
5. 나는 새 가방이 있어.","I have + a/an + 명사 / 숫자 + 복수 명사","✗ I have dog. → ✓ I have a dog. (하나면 a를 붙여요)","""나한테 ~이 있어""는 I have!","I have {a_noun}.","사물, 학교/문구, 장난감, 동물, 옷",""
"9","초등","1 Notice & Name","grow","초3","i-want","I want ~","I want [ ].","갖고 싶거나 먹고 싶은 것을 말해요.","I want pizza.","I want a robot.","I want some milk.","I want water.","I want a new ball.","","","","갖고 싶은 것, 먹고 싶은 것을 말할 때","want는 ""원하다, 갖고 싶다""라는 뜻이에요.
하나를 원하면 a/an: I want a robot.
우유·물처럼 셀 수 없는 것은 그대로 쓰거나 some을 붙여요: I want some milk.","1. 나는 피자를 원해.
2. 나는 로봇을 갖고 싶어.
3. 나는 우유를 좀 마시고 싶어.
4. 나는 물을 원해.
5. 나는 새 공을 갖고 싶어.","I want + a/an + 명사 / 셀 수 없는 명사","✗ I want a milk. → ✓ I want some milk. (milk는 셀 수 없어서 a를 쓰지 않아요)","갖고 싶으면 I want, 먹고 싶어도 I want!","I want {a_noun}.","장난감, 사물, 음식",""
"10","초등","1 Notice & Name","grow","초3","i-can","I can ~ / Can you ~?","I can [ ]. / Can you [ ]?","할 수 있는 일을 말해요. can 뒤에는 동사 그대로 써요.","I can swim.","Can you jump?","I can't skate.","I can dance.","Can you ride a bike?","","","","할 수 있는 것을 말할 때
친구에게 ""~할 수 있어?""라고 물을 때","can은 ""~할 수 있다""라는 뜻이에요.
can 뒤에는 동사를 그대로 써요: I can swim. (swims ✗)
못 하면 can't, 물어볼 때는 Can you …?로 시작해요.","1. 나는 수영할 수 있어.
2. 너 점프할 수 있어?
3. 나는 스케이트를 못 타. (can't = 할 수 없다)
4. 나는 춤출 수 있어.
5. 너 자전거 탈 수 있어?","I can + 동사원형
I can't + 동사원형
Can you + 동사원형?","✗ He can swims. → ✓ He can swim. (can 뒤에는 동사원형)","can 뒤의 동사는 절대 모양이 안 바뀌어요.","I can {verb}.","동작, 스포츠",""
