단어,기존/시범 id,추가되는 카테고리
be,be,동작
have,have,동작
do,do,동작
go,go,동작
come,come,동작
run,run,동작
run,run,스포츠
walk,walk,동작
jump,jump,동작
jump,jump,스포츠
hop,hop,동작
skip,skip,동작
sit,sit,동작
stand,stand,동작
stop,stop,동작
start,start,동작
begin,begin,동작
finish,finish,동작
move,move,동작
move,move,과학
stay,stay,동작
wait,wait,동작
follow,follow,동작
lead,lead,동작
turn,turn,동작
cross,cross,동작
enter,enter,동작
leave,leave,동작
arrive,arrive,동작
return,return,동작
travel,travel,동작
visit,visit,동작
see,see,동작
look,look,동작
hear,hear,동작
listen,listen,동작
smell,smell,동작
taste,taste,동작
touch,touch,동작
touch,touch,과학기술
feel,feel,동작
say,say,동작
tell,tell,동작
speak,speak,동작
talk,talk,동작
ask,ask,동작
answer,answer,동작
answer,answer,학교/문구
answer,answer,독해/이야기
call,call,동작
shout,shout,동작
yell,yell,동작
whisper,whisper,동작
cry,cry,동작
laugh,laugh,동작
smile,smile,동작
sing,sing,동작
read,read,동작
write,write,동작
spell,spell,동작
draw,draw,동작
paint,paint,동작
make,make,동작
build,build,동작
fix,fix,동작
cut,cut,동작
cut,cut,건강/질병
fold,fold,동작
glue,glue,동작
glue,glue,학교/문구
close,close,동작
push,push,동작
push,push,과학
pull,pull,동작
pull,pull,과학
lift,lift,동작
carry,carry,동작
hold,hold,동작
put,put,동작
take,take,동작
bring,bring,동작
give,give,동작
get,get,동작
send,send,동작
show,show,동작
show,show,취미/오락
find,find,동작
hide,hide,동작
search,search,동작
search,search,과학기술
lose,lose,동작
lose,lose,스포츠
keep,keep,동작
throw,throw,동작
throw,throw,스포츠
catch,catch,동작
catch,catch,스포츠
kick,kick,동작
kick,kick,스포츠
hit,hit,동작
hit,hit,스포츠
bounce,bounce,동작
roll,roll,동작
slide,slide,동작
climb,climb,동작
crawl,crawl,동작
swim,swim,동작
dance,dance,동작
dance,dance,취미/오락
ride,ride,동작
ride,ride,교통
drive,drive,동작
drive,drive,교통
eat,eat,동작
drink,drink,동작
cook,cook,동작
cook,cook,직업
bake,bake,동작
wash,wash,동작
clean,clean,동작
clean,clean,외모
clean,clean,상태
clean,clean,환경
dry,dry,동작
dry,dry,자연/날씨
dry,dry,상태
wear,wear,동작
sleep,sleep,동작
sleep,sleep,건강/질병
wake,wake,동작
play,play,동작
study,study,동작
learn,learn,동작
teach,teach,동작
remember,remember,동작
remember,remember,독해/이야기
forget,forget,동작
know,know,동작
think,think,동작
understand,understand,동작
guess,guess,동작
guess,guess,독해/이야기
choose,choose,동작
choose,choose,쇼핑
decide,decide,동작
try,try,동작
help,help,동작
use,use,동작
need,need,동작
need,need,쇼핑
want,want,동작
want,want,쇼핑
like,like,동작
love,love,동작
hate,hate,동작
hope,hope,동작
wish,wish,동작
enjoy,enjoy,동작
share,share,동작
join,join,동작
meet,meet,동작
work,work,동작
buy,buy,동작
buy,buy,쇼핑
buy,buy,돈
sell,sell,동작
sell,sell,쇼핑
sell,sell,돈
pay,pay,동작
pay,pay,쇼핑
pay,pay,돈
count,count,동작
add,add,동작
grow,grow,동작
grow,grow,과학
pick,pick,동작
blow,blow,동작
freeze,freeze,동작
freeze,freeze,과학
melt,melt,동작
melt,melt,과학
burn,burn,동작
burn,burn,건강/질병
burn,burn,과학
break,break,동작
tear,tear,동작
cover,cover,동작
fill,fill,동작
pour,pour,동작
mix,mix,동작
mix,mix,과학
shake,shake,동작
press,press,동작
knock,knock,동작
clap,clap,동작
wave,wave,동작
nod,nod,동작
bow,bow,동작
hug,hug,동작
kiss,kiss,동작
cheer,cheer,동작
win,win,동작
win,win,스포츠
become,become,동작
happen,happen,동작
happen,happen,독해/이야기
dog,dog,동물
puppy,puppy,동물
cat,cat,동물
kitten,kitten,동물
rabbit,rabbit,동물
hamster,hamster,동물
rat,rat,동물
squirrel,squirrel,동물
hedgehog,hedgehog,동물
fox,fox,동물
wolf,wolf,동물
bear,bear,동물
deer,deer,동물
raccoon,raccoon,동물
monkey,monkey,동물
gorilla,gorilla,동물
chimpanzee,chimpanzee,동물
lion,lion,동물
tiger,tiger,동물
leopard,leopard,동물
cheetah,cheetah,동물
elephant,elephant,동물
giraffe,giraffe,동물
zebra,zebra,동물
hippo,hippo,동물
rhino,rhino,동물
kangaroo,kangaroo,동물
koala,koala,동물
panda,panda,동물
camel,camel,동물
horse,horse,동물
pony,pony,동물
cow,cow,동물
pig,pig,동물
sheep,sheep,동물
goat,goat,동물
donkey,donkey,동물
chick,chick,동물
rooster,rooster,동물
duck,duck,동물
goose,goose,동물
bird,bird,동물
eagle,eagle,동물
owl,owl,동물
parrot,parrot,동물
penguin,penguin,동물
flamingo,flamingo,동물
peacock,peacock,동물
swan,swan,동물
crow,crow,동물
sparrow,sparrow,동물
frog,frog,동물
toad,toad,동물
snake,snake,동물
lizard,lizard,동물
turtle,turtle,동물
crocodile,crocodile,동물
alligator,alligator,동물
dinosaur,dinosaur,동물
shark,shark,동물
whale,whale,동물
dolphin,dolphin,동물
octopus,octopus,동물
squid,squid,동물
crab,crab,동물
lobster,lobster,동물
shrimp,shrimp,동물
seal,seal,동물
starfish,starfish,동물
jellyfish,jellyfish,동물
seahorse,seahorse,동물
bee,bee,동물
butterfly,butterfly,동물
ant,ant,동물
spider,spider,동물
beetle,beetle,동물
ladybug,ladybug,동물
mosquito,mosquito,동물
grasshopper,grasshopper,동물
snail,snail,동물
worm,worm,동물
food,food,음식
meal,meal,음식
breakfast,breakfast,음식
lunch,lunch,음식
lunch,lunch,학교/문구
dinner,dinner,음식
snack,snack,음식
rice,rice,음식
bread,bread,음식
toast,toast,음식
cereal,cereal,음식
noodles,noodles,음식
pasta,pasta,음식
pizza,pizza,음식
hamburger,hamburger,음식
sandwich,sandwich,음식
hot dog,hot-dog,음식
beef,beef,음식
pork,pork,음식
egg,egg,음식
cheese,cheese,음식
soup,soup,음식
salad,salad,음식
curry,curry,음식
dumpling,dumpling,음식
pancake,pancake,음식
waffle,waffle,음식
french fries,french-fries,음식
potato,potato,음식
sweet potato,sweet-potato,음식
corn,corn,음식
carrot,carrot,음식
onion,onion,음식
tomato,tomato,음식
cucumber,cucumber,음식
lettuce,lettuce,음식
cabbage,cabbage,음식
mushroom,mushroom,음식
broccoli,broccoli,음식
spinach,spinach,음식
bean,bean,음식
pea,pea,음식
apple,apple,음식
banana,banana,음식
grape,grape,음식
strawberry,strawberry,음식
watermelon,watermelon,음식
melon,melon,음식
pear,pear,음식
cherry,cherry,음식
pineapple,pineapple,음식
mango,mango,음식
kiwi,kiwi,음식
lemon,lemon,음식
blueberry,blueberry,음식
raspberry,raspberry,음식
coconut,coconut,음식
avocado,avocado,음식
cake,cake,음식
cake,cake,휴일/기념일
cookie,cookie,음식
biscuit,biscuit,음식
chocolate,chocolate,음식
candy,candy,음식
ice cream,ice-cream,음식
donut,donut,음식
pie,pie,음식
pudding,pudding,음식
yogurt,yogurt,음식
milk,milk,음식
water,water,음식
water,water,자연/날씨
water,water,재료
water,water,환경
juice,juice,음식
soda,soda,음식
tea,tea,음식
coffee,coffee,음식
lemonade,lemonade,음식
salt,salt,음식
sugar,sugar,음식
pepper,pepper,음식
butter,butter,음식
jam,jam,음식
honey,honey,음식
flour,flour,음식
tall,tall,외모
tall,tall,크기
short,short,외모
short,short,모양
short,short,크기
short,short,상태
big,big,외모
big,big,크기
big,big,상태
small,small,외모
small,small,쇼핑
small,small,크기
small,small,상태
thin,thin,외모
thin,thin,모양
thin,thin,크기
thin,thin,상태
heavy,heavy,외모
heavy,heavy,크기
heavy,heavy,상태
strong,strong,외모
strong,strong,상태
weak,weak,외모
weak,weak,상태
young,young,외모
young,young,상태
old,old,외모
old,old,상태
pretty,pretty,외모
pretty,pretty,상태
beautiful,beautiful,외모
beautiful,beautiful,상태
nice,nice,외모
nice,nice,상태
nice,nice,성격
dirty,dirty,외모
dirty,dirty,상태
dirty,dirty,환경
long,long,외모
long,long,모양
long,long,크기
long,long,상태
straight,straight,외모
straight,straight,모양
straight,straight,위치/방향
face,face,외모
face,face,몸
hair,hair,외모
hair,hair,몸
eye,eye,외모
eye,eye,몸
nose,nose,외모
nose,nose,몸
mouth,mouth,외모
mouth,mouth,몸
ear,ear,외모
ear,ear,몸
birthday,birthday,행사/활동
party,party,행사/활동
party,party,취미/오락
picnic,picnic,행사/활동
vacation,vacation,행사/활동
vacation,vacation,휴일/기념일
holiday,holiday,행사/활동
holiday,holiday,휴일/기념일
body,body,몸
head,head,몸
lip,lip,몸
tooth,tooth,몸
neck,neck,몸
shoulder,shoulder,몸
arm,arm,몸
hand,hand,몸
finger,finger,몸
leg,leg,몸
knee,knee,몸
foot,foot,몸
heart,heart,몸
heart,heart,모양
clothes,clothes,옷
shirt,shirt,옷
sweater,sweater,옷
coat,coat,옷
skirt,skirt,옷
pants,pants,옷
hat,hat,옷
cap,cap,옷
pocket,pocket,옷
button,button,옷
button,button,과학기술
umbrella,umbrella,옷
umbrella,umbrella,자연/날씨
red,red,색깔
yellow,yellow,색깔
green,green,색깔
blue,blue,색깔
pink,pink,색깔
brown,brown,색깔
black,black,색깔
white,white,색깔
gray,gray,색깔
gold,gold,색깔
gold,gold,재료
silver,silver,색깔
silver,silver,재료
city,city,장소
town,town,장소
village,village,장소
street,street,장소
street,street,교통
road,road,장소
road,road,교통
park,park,장소
school,school,장소
school,school,학교/문구
library,library,장소
library,library,학교/문구
hospital,hospital,장소
hospital,hospital,건강/질병
bank,bank,장소
bank,bank,돈
supermarket,supermarket,장소
supermarket,supermarket,쇼핑
restaurant,restaurant,장소
market,market,장소
market,market,쇼핑
zoo,zoo,장소
hotel,hotel,장소
airport,airport,장소
airport,airport,교통
station,station,장소
station,station,교통
church,church,장소
temple,temple,장소
bridge,bridge,장소
bridge,bridge,교통
apartment,apartment,장소
apartment,apartment,집/가구
office,office,장소
farm,farm,장소
farm,farm,자연/날씨
country,country,나라/세계
world,world,나라/세계
world,world,자연/날씨
flag,flag,나라/세계
day,day,요일/달력
week,week,요일/달력
month,month,요일/달력
year,year,요일/달력
today,today,요일/달력
today,today,숫자/시간
yesterday,yesterday,요일/달력
yesterday,yesterday,숫자/시간
tomorrow,tomorrow,요일/달력
tomorrow,tomorrow,숫자/시간
morning,morning,요일/달력
morning,morning,숫자/시간
afternoon,afternoon,요일/달력
afternoon,afternoon,숫자/시간
evening,evening,요일/달력
evening,evening,숫자/시간
night,night,요일/달력
night,night,숫자/시간
date,date,요일/달력
calendar,calendar,요일/달력
game,game,취미/오락
game,game,스포츠
game,game,과학기술
movie,movie,취미/오락
film,film,취미/오락
music,music,취미/오락
music,music,음악
music,music,학교/문구
song,song,취미/오락
song,song,음악
book,book,취미/오락
book,book,학교/문구
story,story,취미/오락
story,story,학교/문구
story,story,독해/이야기
television,television,취미/오락
television,television,집/가구
television,television,과학기술
video,video,취미/오락
video,video,과학기술
picture,picture,취미/오락
picture,picture,집/가구
picture,picture,독해/이야기
camera,camera,취미/오락
camera,camera,과학기술
happy,happy,감정
sad,sad,감정
angry,angry,감정
mad,mad,감정
afraid,afraid,감정
tired,tired,감정
hungry,hungry,감정
hungry,hungry,상태
thirsty,thirsty,감정
thirsty,thirsty,상태
sick,sick,감정
sick,sick,건강/질병
card,card,휴일/기념일
card,card,장난감
candle,candle,휴일/기념일
house,house,집/가구
home,home,집/가구
room,room,집/가구
kitchen,kitchen,집/가구
garden,garden,집/가구
door,door,집/가구
window,window,집/가구
wall,wall,집/가구
floor,floor,집/가구
ceiling,ceiling,집/가구
stairs,stairs,집/가구
roof,roof,집/가구
gate,gate,집/가구
table,table,집/가구
desk,desk,집/가구
desk,desk,학교/문구
chair,chair,집/가구
chair,chair,학교/문구
bed,bed,집/가구
lamp,lamp,집/가구
clock,clock,집/가구
clock,clock,숫자/시간
mirror,mirror,집/가구
stove,stove,집/가구
computer,computer,집/가구
computer,computer,학교/문구
computer,computer,과학기술
shower,shower,집/가구
soap,soap,집/가구
cup,cup,집/가구
glass,glass,집/가구
glass,glass,재료
bowl,bowl,집/가구
spoon,spoon,집/가구
fork,fork,집/가구
knife,knife,집/가구
ill,ill,건강/질병
hurt,hurt,건강/질병
doctor,doctor,건강/질병
doctor,doctor,직업
nurse,nurse,건강/질병
nurse,nurse,직업
exercise,exercise,건강/질병
store,store,쇼핑
shop,shop,쇼핑
basket,basket,쇼핑
bag,bag,쇼핑
cheap,cheap,쇼핑
cheap,cheap,돈
size,size,쇼핑
size,size,크기
large,large,쇼핑
large,large,크기
money,money,돈
coin,coin,돈
dollar,dollar,돈
spend,spend,돈
piano,piano,음악
guitar,guitar,음악
violin,violin,음악
drum,drum,음악
bell,bell,음악
sky,sky,자연/날씨
sky,sky,우주
sun,sun,자연/날씨
sun,sun,우주
moon,moon,자연/날씨
moon,moon,우주
star,star,자연/날씨
star,star,모양
star,star,우주
cloud,cloud,자연/날씨
rain,rain,자연/날씨
snow,snow,자연/날씨
wind,wind,자연/날씨
rainbow,rainbow,자연/날씨
mountain,mountain,자연/날씨
hill,hill,자연/날씨
river,river,자연/날씨
lake,lake,자연/날씨
sea,sea,자연/날씨
beach,beach,자연/날씨
island,island,자연/날씨
jungle,jungle,자연/날씨
field,field,자연/날씨
tree,tree,자연/날씨
flower,flower,자연/날씨
grass,grass,자연/날씨
leaf,leaf,자연/날씨
rock,rock,자연/날씨
rock,rock,재료
stone,stone,자연/날씨
stone,stone,재료
sand,sand,자연/날씨
sand,sand,재료
fire,fire,자연/날씨
air,air,자연/날씨
air,air,재료
air,air,환경
earth,earth,자연/날씨
earth,earth,우주
earth,earth,환경
zero,zero,숫자/시간
hundred,hundred,숫자/시간
thousand,thousand,숫자/시간
number,number,숫자/시간
many,many,숫자/시간
few,few,숫자/시간
people,people,사람/가족
man,man,사람/가족
woman,woman,사람/가족
boy,boy,사람/가족
girl,girl,사람/가족
baby,baby,사람/가족
child,child,사람/가족
kid,kid,사람/가족
family,family,사람/가족
parent,parent,사람/가족
mother,mother,사람/가족
mom,mom,사람/가족
father,father,사람/가족
dad,dad,사람/가족
brother,brother,사람/가족
sister,sister,사람/가족
grandmother,grandmother,사람/가족
aunt,aunt,사람/가족
uncle,uncle,사람/가족
cousin,cousin,사람/가족
friend,friend,사람/가족
classmate,classmate,사람/가족
student,student,사람/가족
student,student,학교/문구
son,son,사람/가족
daughter,daughter,사람/가족
class,class,학교/문구
lesson,lesson,학교/문구
paper,paper,학교/문구
