id,word,품사,뜻,예문,카테고리,소분류,레벨,뜻 번호
puppy,puppy,명사,강아지,The puppy is small.,동물,집·농장 동물,1,1
kitten,kitten,명사,새끼 고양이,The kitten drinks milk.,동물,집·농장 동물,1,1
rabbit,rabbit,명사,토끼,The rabbit likes carrots.,동물,집·농장 동물,1,1
hamster,hamster,명사,햄스터,My hamster is very small.,동물,집·농장 동물,2,1
mouse,mouse,명사,생쥐,A mouse is under the table.,동물,야생 동물,1,1
rat,rat,명사,쥐,The rat is fast.,동물,야생 동물,2,1
squirrel,squirrel,명사,다람쥐,The squirrel has a big tail.,동물,야생 동물,2,1
hedgehog,hedgehog,명사,고슴도치,A hedgehog is small and round.,동물,야생 동물,3,1
fox,fox,명사,여우,The fox is red.,동물,야생 동물,2,1
wolf,wolf,명사,늑대,The wolf is in the forest.,동물,야생 동물,2,1
deer,deer,명사,사슴,The deer runs fast.,동물,야생 동물,2,1
raccoon,raccoon,명사,너구리,The raccoon is cute.,동물,야생 동물,3,1
gorilla,gorilla,명사,고릴라,The gorilla is very strong.,동물,야생 동물,2,1
chimpanzee,chimpanzee,명사,침팬지,The chimpanzee likes bananas.,동물,야생 동물,3,1
leopard,leopard,명사,표범,The leopard is fast.,동물,야생 동물,2,1
cheetah,cheetah,명사,치타,The cheetah runs very fast.,동물,야생 동물,3,1
elephant,elephant,명사,코끼리,The elephant has a long nose.,동물,야생 동물,1,1
giraffe,giraffe,명사,기린,The giraffe has a long neck.,동물,야생 동물,1,1
zebra,zebra,명사,얼룩말,The zebra is black and white.,동물,야생 동물,1,1
hippo,hippo,명사,하마,The hippo is in the water.,동물,야생 동물,2,1
rhino,rhino,명사,코뿔소,The rhino is big and strong.,동물,야생 동물,2,1
kangaroo,kangaroo,명사,캥거루,The kangaroo can jump high.,동물,야생 동물,2,1
koala,koala,명사,코알라,The koala sleeps in a tree.,동물,야생 동물,2,1
panda,panda,명사,판다,The panda is black and white.,동물,야생 동물,1,1
camel,camel,명사,낙타,The camel is tall.,동물,야생 동물,2,1
pony,pony,명사,조랑말,The pony is small.,동물,집·농장 동물,2,1
goat,goat,명사,염소,The goat eats grass.,동물,집·농장 동물,2,1
donkey,donkey,명사,당나귀,The donkey is gray.,동물,집·농장 동물,2,1
chick,chick,명사,병아리,The chick is yellow.,동물,집·농장 동물,2,1
rooster,rooster,명사,수탉,The rooster wakes me up.,동물,집·농장 동물,2,1
goose,goose,명사,거위,The goose is on the lake.,동물,새,2,1
turkey,turkey,명사,칠면조,The turkey is a big bird.,동물,새,2,1
eagle,eagle,명사,독수리,The eagle flies high.,동물,새,2,1
owl,owl,명사,부엉이,The owl sleeps in the day.,동물,새,1,1
parrot,parrot,명사,앵무새,The parrot can talk.,동물,새,2,1
penguin,penguin,명사,펭귄,The penguin can swim.,동물,새,1,1
flamingo,flamingo,명사,플라밍고,The flamingo is pink.,동물,새,2,1
peacock,peacock,명사,공작,The peacock is beautiful.,동물,새,3,1
swan,swan,명사,백조,The swan is on the lake.,동물,새,2,1
crow,crow,명사,까마귀,The crow is black.,동물,새,2,1
sparrow,sparrow,명사,참새,The sparrow is a small bird.,동물,새,2,1
frog,frog,명사,개구리,The frog can jump.,동물,파충류·양서류,1,1
toad,toad,명사,두꺼비,The toad is brown.,동물,파충류·양서류,3,1
snake,snake,명사,뱀,The snake is long.,동물,파충류·양서류,1,1
lizard,lizard,명사,도마뱀,The lizard is on the wall.,동물,파충류·양서류,2,1
turtle,turtle,명사,거북이,The turtle is slow.,동물,파충류·양서류,1,1
crocodile,crocodile,명사,악어,The crocodile has big teeth.,동물,파충류·양서류,2,1
alligator,alligator,명사,앨리게이터,The alligator is in the river.,동물,파충류·양서류,3,1
dinosaur,dinosaur,명사,공룡,The dinosaur is big.,동물,파충류·양서류,1,1
shark,shark,명사,상어,The shark is in the sea.,동물,물속 동물,1,1
whale,whale,명사,고래,The whale is very big.,동물,물속 동물,1,1
octopus,octopus,명사,문어,The octopus has eight legs.,동물,물속 동물,2,1
squid,squid,명사,오징어,The squid lives in the sea.,동물,물속 동물,2,1
crab,crab,명사,게,The crab is red.,동물,물속 동물,1,1
lobster,lobster,명사,바닷가재,The lobster is red.,동물,물속 동물,2,1
shrimp,shrimp,명사,새우,I like shrimp.,동물,물속 동물,2,1
seal,seal,명사,물개,The seal can swim.,동물,물속 동물,2,1
starfish,starfish,명사,불가사리,The starfish is on the beach.,동물,물속 동물,2,1
jellyfish,jellyfish,명사,해파리,The jellyfish is in the sea.,동물,물속 동물,2,1
seahorse,seahorse,명사,해마,The seahorse is small.,동물,물속 동물,3,1
bee,bee,명사,벌,The bee is on the flower.,동물,곤충·벌레,1,1
butterfly,butterfly,명사,나비,The butterfly is beautiful.,동물,곤충·벌레,1,1
ant,ant,명사,개미,The ant is small.,동물,곤충·벌레,1,1
spider,spider,명사,거미,The spider has eight legs.,동물,곤충·벌레,1,1
beetle,beetle,명사,딱정벌레,The beetle is on the leaf.,동물,곤충·벌레,3,1
ladybug,ladybug,명사,무당벌레,The ladybug is red.,동물,곤충·벌레,2,1
mosquito,mosquito,명사,모기,A mosquito is on my arm.,동물,곤충·벌레,2,1
grasshopper,grasshopper,명사,메뚜기,The grasshopper can jump.,동물,곤충·벌레,2,1
snail,snail,명사,달팽이,The snail is slow.,동물,곤충·벌레,1,1
worm,worm,명사,"벌레, 지렁이",The worm is in the soil.,동물,곤충·벌레,2,1
fly-2,fly,명사,파리,A fly is on the food.,동물,곤충·벌레,2,2
meal,meal,명사,식사,We eat a meal together.,음식,식사,2,1
snack,snack,명사,간식,I eat a snack after school.,음식,간식·디저트,2,1
toast,toast,명사,토스트,I eat toast for breakfast.,음식,곡물·빵·면,2,1
cereal,cereal,명사,시리얼,I eat cereal with milk.,음식,곡물·빵·면,2,1
noodles,noodles,명사,"국수, 면",I like noodles.,음식,곡물·빵·면,1,1
pasta,pasta,명사,파스타,I like pasta.,음식,곡물·빵·면,2,1
pizza,pizza,명사,피자,I like pizza.,음식,요리,1,1
sandwich,sandwich,명사,샌드위치,I make a sandwich.,음식,요리,1,1
hot-dog,hot dog,명사,핫도그,I eat a hot dog.,음식,요리,1,1
beef,beef,명사,소고기,We eat beef.,음식,고기·생선·달걀,2,1
pork,pork,명사,돼지고기,This is pork.,음식,고기·생선·달걀,2,1
curry,curry,명사,카레,I like curry and rice.,음식,요리,2,1
dumpling,dumpling,명사,만두,I like dumplings.,음식,요리,2,1
pancake,pancake,명사,팬케이크,I eat pancakes on Sunday.,음식,요리,2,1
waffle,waffle,명사,와플,I like waffles.,음식,요리,2,1
french-fries,French fries,명사,감자튀김,I eat French fries.,음식,요리,1,1
sweet-potato,sweet potato,명사,고구마,The sweet potato is sweet.,음식,채소,2,1
corn,corn,명사,옥수수,I eat corn.,음식,채소,1,1
carrot,carrot,명사,당근,Rabbits like carrots.,음식,채소,1,1
onion,onion,명사,양파,I cut an onion.,음식,채소,1,1
cucumber,cucumber,명사,오이,The cucumber is green.,음식,채소,2,1
lettuce,lettuce,명사,상추,I put lettuce in the sandwich.,음식,채소,2,1
cabbage,cabbage,명사,양배추,The cabbage is green.,음식,채소,2,1
mushroom,mushroom,명사,버섯,I like mushrooms.,음식,채소,2,1
broccoli,broccoli,명사,브로콜리,I eat broccoli.,음식,채소,2,1
spinach,spinach,명사,시금치,Spinach is green.,음식,채소,3,1
bean,bean,명사,콩,I eat beans.,음식,채소,2,1
pea,pea,명사,완두콩,The peas are green.,음식,채소,2,1
watermelon,watermelon,명사,수박,The watermelon is big and sweet.,음식,과일,1,1
peach,peach,명사,복숭아,The peach is sweet.,음식,과일,2,1
cherry,cherry,명사,체리,I like cherries.,음식,과일,2,1
pineapple,pineapple,명사,파인애플,The pineapple is yellow.,음식,과일,2,1
mango,mango,명사,망고,I like mango.,음식,과일,2,1
kiwi,kiwi,명사,키위,The kiwi is green.,음식,과일,2,1
lemon,lemon,명사,레몬,The lemon is sour.,음식,과일,1,1
blueberry,blueberry,명사,블루베리,I put blueberries in my yogurt.,음식,과일,2,1
raspberry,raspberry,명사,라즈베리,The raspberry is red.,음식,과일,3,1
coconut,coconut,명사,코코넛,The coconut is hard.,음식,과일,3,1
avocado,avocado,명사,아보카도,I like avocado.,음식,과일,3,1
cookie,cookie,명사,쿠키,I eat a cookie.,음식,간식·디저트,1,1
biscuit,biscuit,명사,비스킷,I eat a biscuit.,음식,간식·디저트,2,1
chocolate,chocolate,명사,초콜릿,I like chocolate.,음식,간식·디저트,1,1
ice-cream,ice cream,명사,아이스크림,I want ice cream.,음식,간식·디저트,1,1
donut,donut,명사,도넛,I eat a donut.,음식,간식·디저트,1,1
pie,pie,명사,파이,I like apple pie.,음식,간식·디저트,2,1
pudding,pudding,명사,푸딩,The pudding is sweet.,음식,간식·디저트,2,1
yogurt,yogurt,명사,요거트,I eat yogurt.,음식,유제품,2,1
soda,soda,명사,탄산음료,I drink soda.,음식,음료,2,1
lemonade,lemonade,명사,레모네이드,I drink lemonade in summer.,음식,음료,2,1
pepper,pepper,명사,후추,Add salt and pepper.,음식,양념·재료,2,1
jam,jam,명사,잼,I put jam on my bread.,음식,양념·재료,2,1
honey,honey,명사,꿀,Honey is sweet.,음식,양념·재료,2,1
flour,flour,명사,밀가루,We use flour for cake.,음식,양념·재료,3,1
chicken-2,chicken,명사,닭고기,I like chicken for dinner.,음식,고기·생선·달걀,2,2
fish-2,fish,명사,생선,We eat fish for dinner.,음식,고기·생선·달걀,2,2
hop,hop,동사,깡충깡충 뛰다,The rabbit can hop.,동작,이동,2,1
skip,skip,동사,가볍게 뛰어가다,The girl can skip.,동작,이동,2,1
enter,enter,동사,들어가다,Please enter the room.,동작,이동,2,1
yell,yell,동사,소리치다,Don't yell in class.,동작,말하기·표현,3,1
whisper,whisper,동사,속삭이다,Please whisper in the library.,동작,말하기·표현,3,1
fold,fold,동사,접다,Fold the paper.,동작,손으로 하는 동작,2,1
glue,glue,동사,풀로 붙이다,Glue the paper here.,동작,손으로 하는 동작,2,1
lift,lift,동사,들어 올리다,I can lift the box.,동작,손으로 하는 동작,2,1
search,search,동사,"찾다, 뒤지다",I search for my pen.,동작,손으로 하는 동작,3,1
bounce,bounce,동사,튀다,The ball can bounce.,동작,이동,3,1
crawl,crawl,동사,기어가다,The baby can crawl.,동작,이동,3,1
bake,bake,동사,굽다,I bake a cake.,동작,생활,2,1
